ma_dat_lich,ma_can,ngay,gio,ten_khach,so_dien_thoai,thoi_diem_tao
BK00001,5268c168-9058-442d-a2a0-9b8b02ecff40,2026-07-29,08:00,Bùi Văn Giang,0544038907,2026-07-28 14:59:11
BK00002,5268c168-9058-442d-a2a0-9b8b02ecff40,2026-07-29,09:00,Đỗ Quang Phong,0867058889,2026-07-28 14:59:11
BK00003,5268c168-9058-442d-a2a0-9b8b02ecff40,2026-07-29,10:00,Hoàng Hữu Bình,0849939986,2026-07-28 14:59:11
BK00004,5268c168-9058-442d-a2a0-9b8b02ecff40,2026-07-29,11:00,Đặng Minh Nam,0860973828,2026-07-28 14:59:11
BK00005,5268c168-9058-442d-a2a0-9b8b02ecff40,2026-07-29,12:00,Ngô Văn Khánh,0360999758,2026-07-28 14:59:11
BK00006,5268c168-9058-442d-a2a0-9b8b02ecff40,2026-07-29,13:00,Bùi Thanh Quân,0798908770,2026-07-28 14:59:11
BK00007,5268c168-9058-442d-a2a0-9b8b02ecff40,2026-07-29,14:00,Phạm Văn Mai,0921410145,2026-07-28 14:59:11
BK00008,5268c168-9058-442d-a2a0-9b8b02ecff40,2026-07-29,15:00,Hoàng Hữu Quân,0953446134,2026-07-28 14:59:11
BK00009,5268c168-9058-442d-a2a0-9b8b02ecff40,2026-07-29,16:00,Đặng Ngọc Dũng,0932456873,2026-07-28 14:59:11
BK00010,5268c168-9058-442d-a2a0-9b8b02ecff40,2026-07-29,17:00,Phạm Đức Nam,0585278252,2026-07-28 14:59:11
BK00011,74797faf-d216-47e3-9c23-9a012079c43a,2026-07-29,08:00,Bùi Ngọc Phong,0998679725,2026-07-28 14:59:11
BK00012,74797faf-d216-47e3-9c23-9a012079c43a,2026-07-29,09:00,Lê Văn Sơn,0344155254,2026-07-28 14:59:11
BK00013,74797faf-d216-47e3-9c23-9a012079c43a,2026-07-29,10:00,Vũ Đức Vinh,0883986488,2026-07-28 14:59:11
BK00014,74797faf-d216-47e3-9c23-9a012079c43a,2026-07-29,11:00,Đặng Minh Phong,0364879072,2026-07-28 14:59:11
BK00015,74797faf-d216-47e3-9c23-9a012079c43a,2026-07-29,12:00,Vũ Thị Dũng,0961294441,2026-07-28 14:59:11
BK00016,74797faf-d216-47e3-9c23-9a012079c43a,2026-07-29,13:00,Vũ Thanh Hà,0547747698,2026-07-28 14:59:11
BK00017,74797faf-d216-47e3-9c23-9a012079c43a,2026-07-29,14:00,Ngô Minh Bình,0377708539,2026-07-28 14:59:11
BK00018,74797faf-d216-47e3-9c23-9a012079c43a,2026-07-29,15:00,Ngô Thị Nam,0501012338,2026-07-28 14:59:11
BK00019,74797faf-d216-47e3-9c23-9a012079c43a,2026-07-29,16:00,Đỗ Hữu An,0315611278,2026-07-28 14:59:11
BK00020,74797faf-d216-47e3-9c23-9a012079c43a,2026-07-29,17:00,Hoàng Thanh Sơn,0896357124,2026-07-28 14:59:11
BK00021,36d221aa-d29c-4582-b0ff-a7ad93e65220,2026-07-29,08:00,Hoàng Thị Nam,0899001811,2026-07-28 14:59:11
BK00022,36d221aa-d29c-4582-b0ff-a7ad93e65220,2026-07-29,09:00,Lê Văn Khánh,0861264264,2026-07-28 14:59:11
BK00023,36d221aa-d29c-4582-b0ff-a7ad93e65220,2026-07-29,10:00,Lê Văn Phong,0959313879,2026-07-28 14:59:11
BK00024,36d221aa-d29c-4582-b0ff-a7ad93e65220,2026-07-29,11:00,Phạm Hữu Quân,0588733210,2026-07-28 14:59:11
BK00025,36d221aa-d29c-4582-b0ff-a7ad93e65220,2026-07-29,12:00,Đặng Đức Linh,0581129867,2026-07-28 14:59:11
BK00026,36d221aa-d29c-4582-b0ff-a7ad93e65220,2026-07-29,13:00,Nguyễn Văn Chi,0558382889,2026-07-28 14:59:11
BK00027,36d221aa-d29c-4582-b0ff-a7ad93e65220,2026-07-29,14:00,Nguyễn Thanh Bình,0356859275,2026-07-28 14:59:11
BK00028,36d221aa-d29c-4582-b0ff-a7ad93e65220,2026-07-29,15:00,Ngô Hữu Chi,0896364522,2026-07-28 14:59:11
